,LONGITUDE,LATITUDE,Cluster
83488,0.1558837890625,49.46875,16
83490,0.148193359375,49.46875,16
83493,0.146240234375,49.46875,16
83495,0.14892578125,49.46875,16
83497,0.1424560546875,49.46875,16
83499,0.15087890625,49.46875,16
83501,0.1453857421875,49.46875,16
83502,0.1453857421875,49.46875,16
83503,0.1453857421875,49.46875,16
83505,0.1456298828125,49.46875,16
83507,0.14306640625,49.46875,16
83509,0.143310546875,49.46875,16
83537,0.11376953125,49.46875,16
83539,0.5439453125,49.46875,124
83540,-0.1898193359375,53.625,19
83547,-3.009765625,53.4375,2
83548,0.32666015625,51.46875,42
83554,0.1754150390625,49.46875,16
83557,-0.258056640625,53.75,74
83563,-0.18994140625,53.625,19
83579,-1.1552734375,54.59375,24
83581,-1.154296875,54.59375,24
83583,-0.258056640625,53.75,74
83618,-1.1572265625,54.59375,24
83623,-1.1552734375,54.59375,24
83633,-1.154296875,54.59375,24
83636,-1.154296875,54.59375,24
83638,-1.1552734375,54.59375,24
83641,-1.1572265625,54.59375,24
83643,-0.19482421875,53.625,19
83647,-2.08203125,57.15625,7
83674,0.1336669921875,49.46875,16
83676,0.497802734375,51.5,15
83677,0.1375732421875,49.46875,16
83678,0.50146484375,51.5,15
83679,0.1363525390625,49.46875,16
83681,0.49560546875,51.5,15
83683,0.49609375,51.5,15
83684,0.1336669921875,49.46875,16
83685,0.49072265625,51.5,15
83686,0.134033203125,49.46875,16
83688,0.496337890625,51.5,15
83690,0.135009765625,49.46875,16
83692,0.49072265625,51.5,15
83693,0.1383056640625,49.46875,16
83694,0.5009765625,51.5,15
83695,0.1336669921875,49.46875,16
83696,0.497802734375,51.5,15
83697,0.1337890625,49.46875,16
83702,-1.4287109375,50.90625,11
83708,0.4951171875,51.5,15
83721,-1.172277113970587,54.59375,24
83725,-1.1669921875,54.59375,24
83727,-1.1728515625,54.59375,24
83732,-1.1728515625,54.59375,24
83733,-1.1728515625,54.59375,24
83739,-1.1728515625,54.59375,24
83743,-1.1728515625,54.59375,24
83745,-1.1728515625,54.59375,24
83748,-1.1728515625,54.59375,24
83753,-1.1728515625,54.59375,24
83769,-1.1728515625,54.59375,24
83772,-1.1728515625,54.59375,24
83775,-1.1728515625,54.59375,24
83777,-1.1728515625,54.59375,24
83782,-1.1728515625,54.59375,24
83786,-1.1728515625,54.59375,24
83787,-1.1728515625,54.59375,24
