,LONGITUDE,LATITUDE,imo,Duration,Cluster
787,-8.328125,51.84375,9183465,51,0
793,-6.08984375,53.3125,9183465,21,35
794,-6.19921875,53.34375,9183465,61,11
796,-8.328125,51.84375,9183465,33,0
805,-6.19921875,53.34375,9183465,21,11
808,-6.203125,53.34375,9183465,36,36
809,-8.328125,51.84375,9183465,37,0
811,-6.203125,53.34375,9183465,38,36
862,0.5458984375,49.46875,9443425,38,37
864,0.5458984375,49.46875,9443425,48,37
865,0.5458984375,49.46875,9443425,46,37
868,0.5458984375,49.46875,9443425,36,37
878,-0.1680908203125,53.625,9443425,62,26
883,-2.080078125,57.125,9249635,26,38
887,-2.08203125,57.125,9249635,13,39
888,-2.0859375,57.15625,9249635,134,40
890,-2.080078125,57.125,9249635,10,38
891,-2.08203125,57.125,9249635,21,39
897,-2.083984375,57.125,9249635,15,41
899,-2.076171875,57.15625,9249635,24,42
901,-2.080078125,57.125,9249635,36,38
903,-2.083984375,57.125,9249635,30,41
910,-1.326171875,50.84375,9508093,40,16
927,-1.158203125,54.625,9795062,25,43
933,-2.9609375,59.0,9883194,23,44
934,-2.9609375,59.0,9883194,26,44
961,1.158203125,52.03125,9558581,43,32
968,-4.76171875,55.96875,9144263,11,45
971,-4.76171875,55.96875,9144263,9,45
973,-4.76171875,55.96875,9144263,11,45
976,-4.76171875,55.96875,9144263,8,45
980,-4.76171875,55.96875,9144263,9,45
982,-4.76171875,55.96875,9144263,10,45
986,-4.76171875,55.96875,9144263,17,45
988,-4.76171875,55.96875,9144263,12,45
1003,-1.158203125,54.625,9815264,24,43
1032,-1.158203125,54.625,9314753,32,43
1034,-1.330078125,50.84375,9314753,41,24
1051,-1.158203125,54.625,9172155,47,43
1057,-1.158203125,54.625,9172155,33,43
1063,-1.3984375,50.875,9561954,8,46
1068,-1.3984375,50.90625,9707027,10,47
1086,-2.0859375,57.15625,8922254,22,40
1089,-9.046875,53.28125,8922254,38,48
1094,-2.08203125,57.15625,8922254,36,2
1096,-2.0859375,57.15625,8922254,45,40
1098,-1.0947265625,50.8125,8922254,49,5
1105,-2.701171875,51.5,8922254,48,30
1114,-1.396484375,50.875,9736808,10,49
1124,-2.71484375,51.5,9706918,14,12
1129,-1.396484375,50.875,9651113,7,49
1142,-6.20703125,53.34375,9558579,23,50
1143,-5.88671875,54.625,9558579,13,51
1146,-6.203125,53.34375,9558579,22,36
1151,-5.88671875,54.625,9558579,19,51
1152,-6.203125,53.34375,9558579,11,36
1153,-6.203125,53.34375,9558579,21,36
1156,-6.203125,53.34375,9558579,24,36
1167,-5.88671875,54.625,9558579,17,51
1168,-6.203125,53.34375,9558579,14,36
1173,-6.20703125,53.34375,9558579,20,50
1176,-5.88671875,54.625,9558579,17,51
1182,-6.20703125,53.34375,9558579,14,50
1186,-5.88671875,54.625,9558579,28,51
1191,-6.203125,53.34375,9558579,21,36
1197,-7.03125,52.28125,9411769,30,52
1202,-9.046875,53.28125,9411769,50,48
1205,1.0234375,49.4375,9411769,57,22
1206,-5.90234375,54.625,9411769,53,4
1215,1.0234375,49.4375,9467196,38,22
1243,-5.8828125,54.625,9243930,14,53
1255,-5.9140625,54.625,9243930,6,54
1262,-5.9140625,54.625,9243930,15,54
1266,-2.080078125,57.15625,9243930,32,55
1276,-9.046875,53.28125,9243930,37,48
1282,-2.080078125,57.15625,9243930,64,55
1291,-9.046875,53.28125,9243930,39,48
1303,-3.0234375,53.46875,9406960,52,6
1304,-6.19921875,53.34375,9406960,48,11
1305,-4.76171875,55.96875,9406960,49,45
1309,-2.720703125,51.5,9406960,50,9
1310,-4.76171875,55.96875,9406960,45,45
1347,-1.1162109375,50.78125,974166900,7,56
1349,-1.1162109375,50.78125,974166900,9,56
1350,-1.1162109375,50.78125,974166900,6,56
1351,-1.1162109375,50.78125,974166900,7,56
1352,-1.1162109375,50.78125,974166900,7,56
1353,-1.1162109375,50.78125,974166900,263,56
1354,-1.1162109375,50.78125,974166900,7,56
1355,-1.1162109375,50.78125,974166900,8,56
1356,-1.1162109375,50.78125,974166900,7,56
1358,-1.1162109375,50.78125,974166900,8,56
1359,-1.1162109375,50.78125,974166900,8,56
1360,-1.1162109375,50.78125,974166900,6,56
1361,-1.1162109375,50.78125,974166900,7,56
1362,-1.1162109375,50.78125,974166900,6,56
1363,-1.1162109375,50.78125,974166900,8,56
1364,-1.1162109375,50.78125,974166900,8,56
1365,-1.1162109375,50.78125,974166900,8,56
1366,-1.1162109375,50.78125,974166900,6,56
1367,-1.1162109375,50.78125,974166900,8,56
1369,-1.1162109375,50.78125,974166900,7,56
1370,-1.1162109375,50.78125,974166900,6,56
1371,-1.1162109375,50.78125,974166900,6,56
1372,-1.1162109375,50.78125,974166900,8,56
1373,-1.1162109375,50.78125,974166900,7,56
1374,-1.1162109375,50.78125,974166900,7,56
1375,-1.1162109375,50.78125,974166900,8,56
1376,-1.1162109375,50.78125,974166900,7,56
1377,-1.1162109375,50.78125,974166900,9,56
1378,-1.1162109375,50.78125,974166900,7,56
1379,-1.1162109375,50.78125,974166900,7,56
1380,-1.1162109375,50.78125,974166900,8,56
1381,-1.1162109375,50.78125,974166900,6,56
1382,-1.1162109375,50.78125,974166900,7,56
1383,-1.1162109375,50.78125,974166900,6,56
1384,-1.1162109375,50.78125,974166900,8,56
1385,-1.1162109375,50.78125,974166900,6,56
1386,-1.1162109375,50.78125,974166900,7,56
1387,-1.1162109375,50.78125,974166900,8,56
1388,-1.1162109375,50.78125,974166900,7,56
1389,-1.1162109375,50.78125,974166900,7,56
1390,-1.1162109375,50.78125,974166900,9,56
1391,-1.1162109375,50.78125,974166900,7,56
1393,-1.1162109375,50.78125,974166900,8,56
1394,-1.1162109375,50.78125,974166900,6,56
1395,-1.1162109375,50.78125,974166900,8,56
1396,-1.1162109375,50.78125,974166900,8,56
1397,-1.1162109375,50.78125,974166900,8,56
1398,-1.1162109375,50.78125,974166900,6,56
1400,-1.1162109375,50.78125,974166900,7,56
1401,-1.1162109375,50.78125,974166900,7,56
1402,-1.1162109375,50.78125,974166900,7,56
1403,-1.1162109375,50.78125,974166900,6,56
1404,-1.1162109375,50.78125,974166900,7,56
1405,-1.1162109375,50.78125,974166900,8,56
1406,-1.1162109375,50.78125,974166900,7,56
1407,-1.1162109375,50.78125,974166900,6,56
1409,-1.1162109375,50.78125,974166900,8,56
1410,-1.1162109375,50.78125,974166900,6,56
1411,-1.1162109375,50.78125,974166900,7,56
1412,-1.1162109375,50.78125,974166900,6,56
1413,-1.1162109375,50.78125,974166900,7,56
1414,-1.1162109375,50.78125,974166900,6,56
1415,-1.1162109375,50.78125,974166900,15,56
1416,-1.1162109375,50.78125,974166900,6,56
1417,-1.1162109375,50.78125,974166900,8,56
1418,-1.1162109375,50.78125,974166900,7,56
1419,-1.1162109375,50.78125,974166900,7,56
1420,-1.1162109375,50.78125,974166900,7,56
1421,-1.1162109375,50.78125,974166900,7,56
1422,-1.1162109375,50.78125,974166900,8,56
1423,-1.1162109375,50.78125,974166900,7,56
1424,-1.1162109375,50.78125,974166900,7,56
1425,-1.1162109375,50.78125,974166900,7,56
1427,-1.1162109375,50.78125,974166900,7,56
1428,-1.1162109375,50.78125,974166900,7,56
1429,-1.1162109375,50.78125,974166900,6,56
1430,-1.1162109375,50.78125,974166900,7,56
1431,-1.1162109375,50.78125,974166900,7,56
1433,-1.1162109375,50.78125,974166900,6,56
1435,-1.1162109375,50.78125,974166900,6,56
1436,-1.1162109375,50.78125,974166900,9,56
1439,-1.1162109375,50.78125,974166900,6,56
1440,-1.1162109375,50.78125,974166900,7,56
1441,-1.1162109375,50.78125,974166900,8,56
1442,-1.1162109375,50.78125,974166900,7,56
1443,-1.1162109375,50.78125,974166900,6,56
1444,-1.1162109375,50.78125,974166900,6,56
1445,-1.1162109375,50.78125,974166900,7,56
1446,-1.1162109375,50.78125,974166900,7,56
1447,-1.1162109375,50.78125,974166900,7,56
1448,-1.1162109375,50.78125,974166900,6,56
1449,-1.1162109375,50.78125,974166900,7,56
1450,-1.1162109375,50.78125,974166900,7,56
1456,-1.1162109375,50.78125,974166900,165,56
1457,-1.1162109375,50.78125,974166900,6,56
1458,-1.1162109375,50.78125,974166900,6,56
1459,-1.1162109375,50.78125,974166900,7,56
1460,-1.1162109375,50.78125,974166900,9,56
1461,-1.1162109375,50.78125,974166900,6,56
1462,-1.1162109375,50.78125,974166900,9,56
1464,-1.1162109375,50.78125,974166900,264,56
1465,-1.1162109375,50.78125,974166900,165,56
1466,-1.1162109375,50.78125,974166900,6,56
1467,-1.1162109375,50.78125,974166900,7,56
1468,-1.1162109375,50.78125,974166900,7,56
1469,-1.1162109375,50.78125,974166900,6,56
1470,-1.1162109375,50.78125,974166900,7,56
1471,-1.1162109375,50.78125,974166900,6,56
1472,-1.1162109375,50.78125,974166900,24,56
1487,-4.87109375,55.78125,9652844,11,57
1488,-4.87109375,55.78125,9652844,11,57
1489,-4.87109375,55.78125,9652844,11,57
1490,-4.87109375,55.78125,9652844,10,57
1491,-4.87109375,55.78125,9652844,9,57
1492,-4.87109375,55.78125,9652844,8,57
1493,-4.87109375,55.78125,9652844,12,57
1496,-5.7734375,56.53125,9652844,12,58
1497,-5.7734375,56.53125,9652844,13,58
1498,-5.7734375,56.53125,9652844,25,58
1500,-5.7734375,56.53125,9652844,12,58
1507,-5.7734375,56.53125,9652844,12,58
1511,-5.7734375,56.53125,9652844,12,58
1513,-5.7734375,56.53125,9652844,12,58
1528,-5.7734375,56.53125,9652844,11,58
1529,-5.7734375,56.53125,9652844,21,58
1535,-5.7734375,56.53125,9652844,22,58
1536,-5.7734375,56.53125,9652844,14,58
1538,-5.7734375,56.53125,9652844,20,58
1541,-5.7734375,56.53125,9652844,6,58
1542,-5.7734375,56.53125,9652844,22,58
1545,-5.7734375,56.53125,9652844,16,58
1546,-5.7734375,56.53125,9652844,7,58
1550,-5.7734375,56.53125,9652844,14,58
1551,-5.7734375,56.53125,9652844,9,58
1552,-5.7734375,56.53125,9652844,12,58
1556,-5.7734375,56.53125,9652844,16,58
1558,-5.7734375,56.53125,9652844,13,58
1560,-5.7734375,56.53125,9652844,18,58
1561,-5.7734375,56.53125,9652844,13,58
1565,-5.7734375,56.53125,9652844,13,58
1566,-5.7734375,56.53125,9652844,17,58
1567,-5.7734375,56.53125,9652844,12,58
1568,-5.7734375,56.53125,9652844,6,58
1569,-5.7734375,56.53125,9652844,12,58
1572,-5.7734375,56.53125,9652844,6,58
1573,-5.7734375,56.53125,9652844,12,58
1575,-5.7734375,56.53125,9652844,12,58
1576,-5.7734375,56.53125,9652844,12,58
1577,-5.7734375,56.53125,9652844,7,58
1579,-5.7734375,56.53125,9652844,11,58
1588,-5.7734375,56.53125,9652844,6,58
1602,-5.7734375,56.53125,9652844,21,58
1603,-5.7734375,56.53125,9652844,13,58
1608,-5.7734375,56.53125,9652844,12,58
1609,-5.7734375,56.53125,9652844,6,58
1613,-5.7734375,56.53125,9652844,12,58
1616,-5.7734375,56.53125,9652844,13,58
1617,-5.7734375,56.53125,9652844,17,58
1620,-5.7734375,56.53125,9652844,14,58
1623,-5.7734375,56.53125,9652844,17,58
1625,-5.7734375,56.53125,9652844,15,58
1626,-5.7734375,56.53125,9652844,20,58
1628,-5.7734375,56.53125,9652844,14,58
1631,-5.7734375,56.53125,9652844,13,58
1636,-5.7734375,56.53125,9652844,12,58
1642,-5.7734375,56.53125,9652844,6,58
1644,-5.7734375,56.53125,9652844,22,58
1645,-5.7734375,56.53125,9652844,19,58
1649,-5.7734375,56.53125,9652844,157,58
1650,-5.7734375,56.53125,9652844,17,58
1651,-5.7734375,56.53125,9652844,14,58
1652,-5.7734375,56.53125,9652844,6,58
1654,-5.7734375,56.53125,9652844,14,58
1656,-5.7734375,56.53125,9652844,19,58
1663,-5.7734375,56.53125,9652844,14,58
1664,-5.7734375,56.53125,9652844,12,58
1667,-5.7734375,56.53125,9652844,16,58
1672,-5.7734375,56.53125,9652844,14,58
1677,-5.7734375,56.53125,9652844,12,58
