LONGITUDE,LATITUDE,PORT_NAME,PORT_CODE,CNTR_CODE3,SIZE,geometry,Master
-170.9888916,65.58947754,LAVRENTIYA_1,LAV_3,RUS,8.0,POINT (-170.9888916 65.58947754),
132.9075972,42.80472222,PORT LIVADIA,NJK_1,RUS,503.0,POINT (132.9075972 42.80472222),
61.55918728,69.75611111,PORT OF AMDERMA,AMV,RUS,,POINT (61.55918728 69.75611111000001),
-179.1097173,66.31555556,PORT OF EGVEKINOT,EGV,RUS,8.0,POINT (-179.1097173 66.31555556000001),
40.51843345,64.70388889,PORT OF EKONOMIYA,EKO,RUS,86.0,POINT (40.51843345 64.70388889),
140.1700236,53.25694444,PORT OF MAGO,MGO,RUS,,POINT (140.1700236 53.25694444),
130.8147,42.65433386799998,POSYET,PSE,RUS,6.0,POINT (130.8147 42.65433386799998),KRASKINO
23.50017668,58.56777778,VIRTSU HARBOUR,VIR,EST,,POINT (23.50017668 58.56777778),
25.70212014,59.58388889,LOKSA SHIPYARD,LSA,EST,,POINT (25.70212014 59.58388889),
27.72656066,59.41194444,PORT OF SILLAMAE - SILPORT,SLM,EST,24.0,POINT (27.72656066 59.41194444),PORT OF SILLAMAE - SILPORT
24.4923,58.37313386800002,PARNU,PAR_1_1,EST,2.0,POINT (24.4923 58.37313386800002),
24.033333,59.35,PALDISKI,PLA_2_1,EST,64.0,POINT (24.033333 59.35),
23.366667,59.3,HULLO,HUL_1,EST,,POINT (23.366667 59.3),
26.533333,59.533333,KUNDA,KUN,EST,26.0,POINT (26.533333 59.533333),
22.71843345,58.59111111,TRIIGI HARBOR,TGI,EST,,POINT (22.71843345 58.59111111),
22.5196702,58.69194444,SORU HARBOR,SRU,EST,,POINT (22.5196702 58.69194444),
24.01737338,58.14055556,PORT OF KIHNU,KHN,EST,,POINT (24.01737338 58.14055556),
14.59008789,53.56231689,POLICE,PLC,POL,35.0,POINT (14.59008789 53.56231689),
