longitude,latitude,imo
6.38671875,37.78125,9712204
-0.84326171875,54.71875,9712204
-0.8525390625,54.6875,9712204
-1.1533203125,54.625,9712204
10.671875,66.4375,9712204
10.75,66.5625,9712204
10.6015625,66.375,9712204
10.6171875,66.875,9712204
10.7421875,67.0,9712204
14.6484375,68.0625,9712204
17.421875,68.5,9712204
17.390625,68.4375,9712204
5.8515625,63.6875,9712204
7.77734375,53.90625,9712204
8.6875,53.125,9712204
11.6796875,57.59375,9712204
25.875,59.875,9712204
28.40625,59.78125,9712204
25.875,59.84375,9712204
25.015625,59.59375,9712204
24.953125,59.5,9712204
24.09375,57.03125,9712204
11.59375,57.59375,9712204
3.224609375,37.27083333333333,9712204
36.1875,36.78125,9712204
32.3125,31.359375,9712204
32.53125,29.828125,9712204
37.96875,24.046875,9712204
38.25,23.9375,9712204
70.0625,22.734375,9712204
70.25,23.0,9712204
66.5625,24.46875,9712204
66.625,24.296875,9712204
66.375,24.265625,9712204
66.5625,24.40625,9712204
67.0,24.828125,9712204
39.8125,-4.01171875,9712204
39.78125,-4.17578125,9712204
39.875,-4.171875,9712204
39.78125,-4.02734375,9712204
39.75,-4.11328125,9712204
39.75,-4.08203125,9712204
39.671875,-4.068359375,9712204
32.09375,-28.921875,9712204
32.08984375,-28.810546875,9712204
-5.359375,36.125,9712204
4.875,43.40625,9712204
-8.4609375,35.75,9712204
-8.90625,35.6875,9712204
-5.38671875,36.0625,9712204
-1.8994140625,36.96875,9712204
-1.71484375,4.873046875,9712204
-1.740234375,4.89453125,9712204
0.026519775390625,5.54296875,9712204
0.0152511596679687,5.62890625,9712204
-48.46875,-1.050048828125,9712204
-48.6875,-1.390625,9712204
-95.875,19.40625,9712204
-95.8125,19.578125,9712204
-95.875,19.453125,9712204
-96.0,19.640625,9712204
-95.8125,19.625,9712204
-95.75,19.5625,9712204
-95.8125,19.59375,9712204
-95.6875,19.375,9712204
-95.6875,19.359375,9712204
-95.625,19.375,9712204
-96.125,19.203125,9712204
-90.25,29.96875,9712204
-91.1875,30.390625,9712204
-91.1875,30.4375,9712204
-68.83333333333334,33.84375,9712204
-4.096875000000001,53.4375,9712204
-3.017578125,53.46875,9712204
-0.1192626953125,49.46875,9712204
0.98974609375,49.375,9712204
1.833984375,51.0625,9712204
2.306640625,51.0625,9712204
21.8125,34.5625,9712204
22.95089285714285,38.21875,9638800
11.247395833333332,33.5,9638800
11.1171875,33.46875,9638800
-5.3046875,35.90625,9638800
10.75,59.875,9638800
-9.8125,41.40625,9638800
10.75,59.875,9638800
10.75,59.875,9638800
10.75,59.875,9638800
12.015625,54.25,9638800
12.125,54.15625,9638800
10.140625,54.375,9638800
9.171875,53.90625,9638800
-5.90234375,54.625,9638800
-2.703125,51.5,9638800
-2.703125,51.5,9638800
-3.921875,51.625,9638800
-7.86328125,43.75,9638800
8.0546875,54.09375,9638800
8.1015625,54.0625,9638800
9.9375,53.53125,9638800
10.0078125,53.53125,9638800
4.12890625,51.9375,9638800
9.125,53.875,9638800
20.84375,56.53125,9638800
21.0,56.53125,9638800
10.34375,54.5625,9638800
9.15625,53.90625,9638800
-0.1971435546875,53.625,9638800
5.03515625,60.84375,9638800
11.1171875,54.84375,9638800
24.0625,57.0625,9638800
-2.900390625,53.28125,9638800
-5.90234375,54.625,9638800
-3.359375,51.21875,9638800
-2.701171875,51.5,9638800
-4.265625,44.56875,9638800
