longitude,latitude,imo
-79.55555555555554,32.62152777777777,9729477
-79.9375,32.8125,9729477
-79.9375,32.90625,9729477
-76.1875,37.21875,9729477
-76.4375,36.96875,9729477
-39.75,-0.0198974609375,9729477
-38.90625,-0.5947265625,9729477
-40.1875,-20.296875,9729477
-40.21875,-20.28125,9729477
-55.53125,-35.21875,9729477
-57.84375,-34.75,9729477
-60.5,-33.125,9729477
-60.5625,-33.0625,9729477
-61.46875,-39.28125,9729477
-62.28125,-38.78125,9729477
3.3359375,6.3515625,9729477
3.359375,6.4296875,9729477
5.0859375,5.5,9729477
5.51953125,5.5078125,9729477
5.62890625,5.546875,9729477
5.71484375,5.515625,9729477
5.17578125,5.57421875,9729477
2.32421875,2.3359375,9729477
2.08203125,2.76171875,9729477
1.787109375,2.7578125,9729477
9.421875,0.29150390625,9729477
9.484375,0.2734375,9729477
-15.4140625,28.125,9729477
-3.7578125,43.5,9729477
-3.81640625,43.4375,9729477
1.8251953125,51.0625,9729477
2.330078125,51.0625,9729477
2.41015625,51.34375,9729477
3.744140625,51.09375,9729477
4.0390625,52.4375,9729477
4.8125,52.40625,9729477
3.423828125,52.46875,9729477
25.0,59.5,9729477
23.921875,57.09375,9729477
24.078125,57.03125,9729477
10.8515625,54.78125,9729477
4.44921875,51.875,9729477
-44.3125,-2.314453125,9729477
-44.375,-2.5859375,9729477
35.0,32.90625,9729477
35.0,32.875,9729477
35.0,32.90625,9729477
35.0,32.8125,9729477
32.4375,31.40625,9729477
32.34375,31.1875,9729477
-5.328125,35.90625,9729477
0.12322998046875,5.59375,9729477
0.05584716796875,5.60546875,9729477
0.0136260986328125,5.62890625,9729477
-44.0,-23.21875,9729477
-43.78125,-22.953125,9729477
122.8125,28.46875,9357224
32.53125,29.90625,9357224
32.40625,30.328125,9357224
31.734375,31.625,9357224
0.485595703125,49.5,9357224
-2.708984375,51.5,9357224
9.140625,53.90625,9357224
10.125,54.375,9357224
21.4375,61.125,9357224
10.140625,54.375,9357224
9.15625,53.90625,9357224
9.984375,53.5,9357224
4.3671875,51.25,9357224
-3.033203125,43.34375,9357224
-16.03125,17.984375,9357224
-80.6875,9.0234375,9357224
-79.9375,9.375,9357224
-79.625,9.0078125,9357224
-79.9375,-2.28125,9357224
-77.125,-12.046875,9357224
-77.25,-12.015625,9357224
-70.3125,-18.46875,9357224
-72.125,-16.984375,9357224
-72.125,-17.0,9357224
-70.1875,-20.203125,9357224
-70.375,-23.0625,9357224
-71.375,-17.640625,9357224
-79.5,8.8671875,9357224
-79.625,9.0,9357224
-79.9375,9.2734375,9357224
-85.75,30.171875,9357224
-95.25,29.71875,9357224
-97.875,22.203125,9357224
-78.8125,26.515625,9357224
-79.5625,32.5625,9357224
-79.9375,32.814338235294144,9357224
-79.9375,9.3828125,9357224
-79.9375,9.2734375,9357224
-79.625,9.0,9357224
-79.5,8.890625,9357224
-90.8125,13.921875,9357224
-79.5,8.890625,9357224
-79.5625,9.0,9357224
-87.9375,15.84375,9357224
-76.6875,34.71875,9357224
-73.25,34.34375,9357224
-2.154296875,47.28125,9357224
2.626953125,51.4375,9357224
4.37109375,51.25,9357224
4.28515625,51.34375,9357224
4.4140625,51.90625,9357224
-90.25,29.9375,9357224
-90.0,29.9375,9357224
-95.125,29.75,9357224
-95.25,29.71875,9357224
-94.8125,29.3125,9357224
-79.9375,9.3828125,9357224
-79.9375,9.2734375,9357224
-79.625,9.015625,9357224
-79.5,8.890625,9357224
-79.9375,-2.283203125,9357224
-81.125,-5.08203125,9357224
-76.3125,-13.78125,9357224
-76.3125,-13.8046875,9357224
-70.375,-23.0625,9357224
-73.25,-36.625,9357224
-73.125,-36.71875,9357224
-80.26249999999999,-11.401562499999995,9357224
-79.97916666666666,-2.345703125,9357224
-79.9375,-2.28125,9357224
-79.5,8.8671875,9357224
-79.625,9.015625,9357224
-84.53125,20.5703125,9357224
-90.0625,29.921875,9357224
-95.53125,19.2109375,9357224
-95.38068181818193,19.111505681818148,9357224
-95.5,19.125,9357224
-95.45,19.21875,9357224
-95.40625,19.09375,9357224
-95.3125,19.25,9357224
-95.25,19.078125,9357224
-95.3125,19.453125,9357224
-95.5,19.734375,9357224
-95.625,19.21875,9357224
-96.125,19.203125,9357224
-80.125,26.09375,9357224
29.015625,41.0,9357224
26.743055555555543,40.427083333333314,9357224
24.0625,37.71875,9357224
32.3125,31.359375,9357224
32.515625,30.2578125,9357224
47.9375,30.0625,9357224
54.34895833333332,24.5703125,9357224
51.84375,25.53125,9357224
51.625,24.921875,9357224
51.59375,24.9375,9357224
52.68958333333339,26.16249999999996,9357224
56.5625,25.21875,9357224
32.53125,29.90625,9357224
-79.5,8.8359375,9327748
126.8125,36.96875,9327748
129.375,35.53125,9327748
129.75,34.90625,9327748
129.50171232876687,35.30821917808231,9327748
129.375,35.53125,9327748
125.5625,35.875,9327748
126.5625,35.96875,9327748
125.6875,36.34375,9327748
126.8125,36.96875,9327748
122.6875,31.5,9327748
121.8875,31.278125000000003,9327748
103.9375,1.2841796875,9327748
32.59375,29.859375,9327748
29.8125,31.3125,9327748
29.734375,31.296875,9327748
29.71875,31.296875,9327748
29.703125,31.328125,9327748
29.875,31.1875,9327748
13.7421875,45.5625,9327748
2.794921875,51.5,9327748
4.23046875,51.28125,9327748
8.5546875,53.5625,9327748
