longitude,latitude,imo
157.25,22.390625,9667344
137.375,31.875,9667344
137.5,31.921875,9667344
137.625,31.984375,9667344
137.875,32.15625,9667344
137.125,32.1328125,9667344
137.25,32.0625,9667344
136.875,35.0625,9667344
32.5625,29.71484375,9667344
10.2578125,43.5,9667344
10.171875,43.21875,9667344
10.3046875,43.59375,9667344
-0.8115234375,36.78125,9667344
-0.9970703125,36.84375,9667344
-3.7890625,51.34375,9667344
-3.779296875,51.34375,9667344
-3.8125,51.34375,9667344
-3.759765625,51.34375,9667344
-2.716796875,51.5,9667344
3.234375,51.3125,9667344
7.16015625,53.34375,9667344
-3.82421875,43.4375,9667344
31.765625,32.0,9667344
31.828125,31.96875,9667344
32.34375,31.375,9667344
103.75,1.2861328125,9667344
121.1875,25.28125,9667344
121.25,25.328125,9667344
121.4375,25.59375,9667344
121.5,25.625,9667344
121.375,25.15625,9667344
137.25,34.1875,9667344
137.625,34.34375,9667344
137.25,34.71875,9667344
113.5625,22.859375,9667344
103.75,1.283203125,9667344
50.5,26.828125,9667344
50.5,26.8125,9667344
50.5625,26.84375,9667344
50.59375,26.859375,9667344
50.59375,26.796875,9667344
50.59375,26.859375,9667344
50.21875,26.5,9667344
55.0625,24.984375,9667344
69.6875,22.75,9667344
81.125,6.125,9667344
80.5,13.1953125,9667344
80.3125,13.2734375,9667344
80.95833333333337,5.791666666666664,9667344
31.03125,-29.859375,9667344
123.35000000000004,29.75,9667344
123.23214285714285,29.70758928571429,9667344
122.25,29.921875,9667344
122.25,29.921875,9667344
122.9375,31.1875,9667344
121.6875,31.328125,9667344
103.75,1.28515625,9667344
54.8125,25.1875,9667344
55.09375,25.0,9667344
50.21875,26.5,9667344
67.375,22.546875,9667344
68.5625,22.140625,9667344
69.6875,22.703125,9667344
81.125,6.125,9667344
80.5625,13.2109375,9667344
80.625,13.2421875,9667344
80.3125,13.2734375,9667344
81.125,6.12890625,9667344
36.15625,-19.890625,9667344
36.40625,-19.96875,9667344
36.78125,-19.484375,9667344
31.40625,-29.65625,9667344
31.390625,-29.859375,9667344
31.53125,-29.96875,9667344
31.375,-29.828125,9667344
31.53125,-29.734375,9667344
31.640625,-29.65625,9667344
31.515625,-29.75,9667344
31.03125,-29.859375,9667344
103.9375,1.27734375,9667344
121.6875,31.328125,9667344
120.55208333333336,13.66015625,9667344
120.5625,13.671875,9667344
120.5,13.7265625,9667344
120.5625,13.65625,9667344
120.99831081081096,13.63112331081082,9667344
104.9375,1.755859375,9667344
103.875,1.2646484375,9667344
103.75,1.2861328125,9667344
55.09375,25.0,9667344
50.1875,26.5,9667344
81.125,6.125,9667344
31.03125,-29.875,9667344
26.03125,-33.90625,9667344
25.9375,-33.875,9667344
25.625,-33.96875,9667344
103.75,1.283203125,9667344
135.875,28.65625,9667344
137.0,32.4375,9667344
137.25,34.71875,9667344
139.75,35.46875,9667344
137.125,34.03125,9667344
137.125,33.84375,9667344
137.375,33.875,9667344
136.875,35.03125,9667344
136.875,35.0625,9667344
132.5,34.34375,9667344
121.25,25.328125,9667344
121.36805555555551,25.15972222222224,9667344
113.5625,22.92007211538458,9667344
103.75,1.28515625,9667344
20.8125,56.0,9305556
10.6796875,57.6875,9305556
4.15234375,60.84375,9305556
4.86328125,60.625,9305556
25.515625,60.0,9305556
25.56215277777771,60.31180555555542,9305556
28.71875,60.34375,9305556
25.5,60.0,9305556
25.5625,60.3125,9305556
25.515625,60.0,9305556
28.71875,60.34375,9305556
25.5625,60.3125,9305556
25.5,60.0,9305556
28.765625,60.21875,9305556
28.71875,60.34375,9305556
25.5625,60.3125,9305556
25.5,60.0,9305556
28.71875,60.34375,9305556
25.5625,60.3125,9305556
28.71875,60.34375,9305556
25.5625,60.3125,9305556
25.484375,60.0,9305556
28.71875,60.3125,9305556
25.5,60.03125,9305556
25.5625,60.3125,9305556
28.578125,60.15625,9305556
28.703125,60.34375,9305556
25.5625,60.3125,9305556
25.515625,60.03125,9305556
5.03125,60.8125,9305556
25.5,60.0,9305556
25.5625,60.3125,9305556
9.875,55.5625,9305556
9.765625,55.5625,9305556
25.5,60.0,9305556
25.5625,60.3125,9305556
-2.923828125,56.0625,9305556
-3.361328125,56.0,9305556
25.515625,60.03125,9305556
25.5625,60.3125,9305556
25.515625,60.03125,9305556
-2.92578125,56.0625,9305556
-3.361328125,56.0,9305556
3.55859375,52.1875,9305556
4.07421875,51.96875,9305556
4.859375,60.625,9305556
25.53125,60.03125,9305556
25.5625,60.3125,9305556
25.546875,60.28125,9305556
3.724609375,61.03125,9305556
3.896484375,61.03125,9305556
5.03125,60.8125,9305556
25.5625,60.3125,9305556
25.546875,60.28125,9305556
10.7109375,57.65625,9305556
-1.798828125,60.9375,9305556
-1.2940499441964268,60.49944196428566,9305556
-3.0,53.375,9305556
9.8828125,55.5625,9305556
9.765625,55.5625,9305556
11.6640625,57.5625,9305556
10.6640625,57.625,9305556
4.125,60.8125,9305556
4.859375,60.625,9305556
-2.46484375,47.125,9305556
-2.10546875,47.3125,9305556
2.802734375,52.15625,9305556
5.01953125,60.8125,9305556
18.71875,54.40625,9305556
11.5703125,57.5625,9305556
-2.921875,56.0625,9305556
-3.361328125,56.0,9305556
18.71875,54.40625,9305556
5.01953125,60.8125,9305556
4.19921875,51.90625,9305556
3.1484375,52.0,9305556
3.80078125,60.8125,9305556
4.859375,60.625,9305556
-4.15625,53.4375,9305556
-3.0,53.375,9305556
-1.1689453125,54.625,9305556
4.07421875,51.96875,9305556
