longitude,latitude,imo
104.5,1.44140625,9326861
103.875,1.2529296875,9326861
56.65625,24.578125,9326861
56.625,24.541015625,9326861
51.59375,24.953125,9326861
52.82291666666667,26.375,9326861
52.75,26.234375,9326861
53.0,26.3125,9326861
53.03125,26.375,9326861
53.03125,26.390625,9326861
52.96875,26.40625,9326861
48.28125,29.078125,9326861
48.15625,29.125,9326861
56.53125,25.234375,9326861
67.0,24.53125,9326861
67.265625,24.78125,9326861
66.5625,24.421875,9326861
62.5,24.171875,9326861
62.09375,24.375,9326861
61.6875,24.15625,9326861
61.8125,24.078125,9326861
61.71875,24.140625,9326861
61.90625,24.15625,9326861
62.03125,24.03125,9326861
56.78125,25.171875,9326861
56.5,25.34375,9326861
53.84375,25.796875,9326861
53.75,25.734375,9326861
53.90625,25.8125,9326861
55.09375,25.4375,9326861
50.375,27.390625,9326861
50.36458333333333,27.416666666666664,9326861
49.9375,27.265625,9326861
49.72916666666667,27.078125,9326861
55.0625,25.015625,9326861
54.875,25.609375,9326861
54.875,25.65625,9326861
54.78125,25.578125,9326861
54.8125,25.546875,9326861
50.875,27.25,9326861
50.84375,27.21875,9326861
50.15625,26.65625,9326861
50.21875,26.671875,9326861
42.1875,17.265625,9326861
40.33648255813925,17.66251816860444,9326861
38.78125,22.546875,9326861
38.8125,22.53125,9326861
38.78125,22.53125,9326861
38.8125,22.578125,9326861
38.625,22.578125,9326861
38.625,22.34375,9326861
38.6875,22.640625,9326861
39.0,22.734375,9326861
38.21875,23.921875,9326861
33.09375,28.734375,9326861
32.4375,29.640625,9326861
37.125,23.71875,9326861
37.5,23.84375,9326861
38.25,23.9375,9326861
39.0625,21.390625,9326861
39.15625,21.4375,9326861
39.0625,21.40625,9326861
38.65625,21.40625,9326861
37.96875,22.765625,9326861
37.875,22.765625,9326861
37.71875,22.765625,9326861
37.59375,22.8125,9326861
37.8125,22.75,9326861
37.5,22.6875,9326861
37.625,23.828125,9326861
37.625,23.875,9326861
37.5625,23.875,9326861
38.25,23.9375,9326861
39.0625,21.390625,9326861
38.9375,21.296875,9326861
39.03125,21.390625,9326861
39.15625,21.4375,9326861
37.375,22.59375,9326861
37.8125,22.59375,9326861
37.53125,22.703125,9326861
37.90625,23.359375,9326861
38.03125,23.3125,9326861
39.0625,21.375,9326861
38.96875,21.46875,9326861
39.03125,21.375,9326861
39.15625,21.4375,9326861
38.8125,21.4375,9326861
38.59375,20.703125,9326861
38.9375,21.09375,9326861
38.96875,20.921875,9326861
38.875,21.0,9326861
39.0,22.734375,9326861
38.28125,22.296875,9326861
39.0625,21.40625,9326861
32.5625,29.8125,9326861
-5.3671875,36.125,9326861
-5.375,36.0625,9326861
-44.15625,-2.16015625,9326861
-44.34375,-2.44921875,9326861
-44.375,-2.572265625,9326861
-90.3125,29.96875,9326861
-90.375,29.984375,9326861
-34.875,-8.390625,9326861
-34.9375,-8.390625,9326861
2.587890625,51.40625,9326861
4.28515625,51.34375,9326861
4.36328125,51.25,9326861
4.28515625,51.34375,9326861
-5.68359375,49.109375,9326861
-34.875,-8.390625,9326861
-34.96875,-8.3984375,9326861
-34.875,-8.3828125,9326861
-34.875,-8.375,9326861
1.3046875,6.0546875,9236092
-4.03125,5.21875,9236092
-15.40625,28.109375,9236092
-8.1328125,34.46875,9236092
-4.66015625,61.9375,9236092
33.03125,69.0,9236092
-8.6953125,33.1875,9236092
-8.6328125,33.125,9236092
33.0625,69.0,9236092
-2.9140625,35.28125,9236092
-3.54296875,35.5,9236092
-3.078125,35.6875,9236092
24.078125,37.71875,9236092
28.875,40.9375,9236092
28.96875,40.96875,9236092
29.817708333333336,44.39583333333333,9236092
30.671875,46.3125,9236092
31.0,46.65625,9236092
29.140625,41.34375,9236092
29.1875,41.34375,9236092
28.984375,40.8125,9236092
28.953125,40.96875,9236092
36.34375,41.28125,9236092
29.171875,41.34375,9236092
29.203125,41.34375,9236092
28.953125,40.71875,9236092
28.921875,40.78125,9236092
28.90625,40.78125,9236092
29.0,40.75,9236092
28.96875,40.75,9236092
29.015625,40.8125,9236092
28.953125,40.96875,9236092
30.953125,46.5,9236092
31.015625,46.65625,9236092
30.953125,46.4375,9236092
29.25,41.4375,9236092
29.25,41.40625,9236092
29.296875,41.4375,9236092
29.234375,41.40625,9236092
28.859375,40.78125,9236092
28.703125,40.6875,9236092
28.71875,40.625,9236092
28.75,40.625,9236092
28.8125,40.65625,9236092
28.71875,40.65625,9236092
28.671875,40.625,9236092
28.625,40.65625,9236092
28.359375,40.59375,9236092
28.390625,40.625,9236092
28.640625,40.65625,9236092
28.515625,40.65625,9236092
28.984375,41.0,9236092
28.78125,40.90625,9236092
14.6015625,35.84375,9236092
4.12890625,51.96875,9236092
3.681640625,52.125,9236092
-3.455078125,53.5,9236092
-3.017578125,53.46875,9236092
-5.34375,35.90625,9236092
29.71875,31.25,9236092
29.875,31.1875,9236092
25.734375,39.90625,9236092
29.453125,40.6875,9236092
29.203125,41.5625,9607681
27.09375,40.46875,9607681
32.3125,31.46875,9607681
123.9722682119196,29.972889072847373,9607681
104.5,1.822265625,9607681
104.0625,1.2998046875,9607681
87.08333333333334,0.1270345052083333,9607681
-43.9375,-23.140625,9607681
-43.96875,-22.96875,9607681
-43.84375,-22.9375,9607681
104.0,1.279296875,9607681
122.75,29.78125,9607681
122.0625,29.890625,9607681
122.75,31.140625,9607681
121.3125,31.59375,9607681
120.125,31.921875,9607681
121.3125,31.609375,9607681
118.375,-19.8125,9607681
118.25,-19.953125,9607681
118.1875,-19.890625,9607681
118.0625,-19.890625,9607681
118.125,-19.78125,9607681
118.15625,-19.6328125,9607681
118.0625,-19.90625,9607681
118.0,-19.765625,9607681
118.1875,-19.625,9607681
118.0625,-19.890625,9607681
118.125,-19.75,9607681
118.25,-19.953125,9607681
118.1875,-19.84375,9607681
118.5625,-20.328125,9607681
119.1875,38.90625,9607681
119.425347222222,38.9149305555555,9607681
122.875,31.0,9607681
122.625,30.9375,9607681
122.875,31.015625,9607681
121.6875,31.375,9607681
117.1875,-20.578125,9607681
117.1875,-20.578125,9607681
