longitude,latitude,imo
11.453125,53.90625,9224166
10.6796875,59.46875,9224166
5.74609375,58.875,9224166
5.75390625,58.9375,9224166
5.6171875,59.03125,9224166
6.16015625,62.5,9224166
14.1171875,66.3125,9224166
6.16015625,62.5,9224166
-8.2578125,43.40625,9224166
-8.390625,43.375,9224166
-3.828125,43.4375,9224166
-2.4765625,51.71875,9224166
-3.48828125,51.25,9224166
-3.37255859375,51.21875,9224166
-6.07421875,53.3125,9224166
-6.203125,53.34375,9224166
-5.890625,54.625,9224166
-8.890625,38.5,9224166
-8.8828125,38.5,9224166
-5.96484375,43.62239583333331,9224166
14.140625,66.3125,9224166
5.1015625,60.4375,9224166
6.1640625,62.46875,9224166
13.0625,66.25,9224166
14.109375,66.3125,9224166
-3.251953125,51.34375,9224166
-3.154296875,51.46875,9224166
-9.18359375,52.59765625,9224166
-9.5,52.59375,9224166
-8.8203125,49.88541666666668,9224166
-1.5478515625,43.5625,9224166
-1.5,43.53125,9224166
-3.361328125,51.25,9224166
-3.435546875,51.25,9224166
-3.154296875,51.46875,9224166
-4.1171875,50.375,9224166
-5.91015625,54.625,9224166
14.140625,66.3125,9224166
13.82870065789469,66.8125,9224166
-2.94921875,56.46875,9224166
-8.6953125,41.1875,9224166
-8.875,38.5,9224166
5.74609375,58.875,9224166
5.12890625,60.34375,9224166
9.84375,63.3125,9224166
10.78125,63.40625,9224166
9.84375,63.3125,9224166
9.5703125,59.125,9224166
10.59375,57.6875,9224166
14.1171875,66.3125,9224166
15.625,68.9375,9224166
-0.29443359375,49.21875,9224166
5.4296875,53.1875,9224166
7.84375,53.90625,9224166
9.9453125,53.53125,9224166
0.395751953125,53.59375,9224166
-0.3662109375,53.71875,9224166
1.423828125,51.9375,9224166
1.1611328125,52.03125,9224166
-5.91015625,54.625,9224166
14.109375,66.3125,9224166
5.84375,62.3125,9224166
3.63671875,52.15625,9224166
4.27734375,51.875,9224166
3.693359375,51.46875,9224166
2.28515625,51.03125,9224166
18.8125,57.71875,9224166
20.84375,56.53125,9224166
21.0,56.53125,9224166
17.109375,58.625,9224166
17.109375,58.65625,9224166
17.578125,58.59375,9224166
13.828125,55.4375,9224166
4.35546875,51.90625,9224166
4.46875,51.90625,9224166
4.2734375,51.90625,9224166
10.3671875,63.4375,9224166
13.9375,66.8125,9224166
9.6171875,59.125,9224166
6.2578125,58.34375,9224166
6.828125,53.46875,9224166
5.6171875,59.03125,9224166
14.1171875,66.3125,9224166
13.892680921052628,66.8125,9224166
-0.19287109375,53.625,9224166
-1.3583984375,54.90625,9224166
2.935546875,51.21875,9224166
2.6640625,51.34375,9224166
3.70703125,51.4375,9224166
9.6953125,59.0625,9224166
9.5703125,59.125,9224166
7.96875,58.125,9224166
12.421875,66.25,9224166
14.125,66.3125,9224166
55.28125,25.265625,9616230
57.5,-20.15625,9616230
31.03125,-29.875,9616230
27.90625,-33.03125,9616230
25.625,-33.96875,9616230
22.140625,-34.15625,9616230
18.421875,-33.90625,9616230
15.15625,-26.640625,9616230
14.484375,-22.953125,9616230
25.625,-33.96875,9616230
31.046875,-29.875,9616230
22.140625,-34.15625,9616230
18.421875,-33.90625,9616230
15.15625,-26.640625,9616230
14.484375,-22.953125,9616230
-23.5,14.90625,9616230
-25.0,16.890625,9616230
-15.421875,28.140625,9616230
-17.109375,28.078125,9616230
-17.765625,28.671875,9616230
-16.234375,28.46875,9616230
-13.53125,28.96875,9616230
-13.859375,28.5,9616230
-16.234375,28.46875,9616230
-17.765625,28.671875,9616230
-17.109375,28.078125,9616230
-17.90625,27.78125,9616230
-13.53125,28.96875,9616230
-13.859375,28.5,9616230
-15.421875,28.140625,9616230
-17.90625,27.78125,9616230
-16.234375,28.46875,9616230
-17.765625,28.671875,9616230
-17.109375,28.078125,9616230
-16.90625,32.65625,9616230
-25.65625,37.75,9616230
-28.625,38.53125,9616230
-9.125,38.71875,9616230
-8.703125,41.1875,9616230
-3.025390625,43.34375,9616230
-0.56982421875,44.84375,9616230
-3.138671875,47.34375,9616230
-2.03564453125,48.625,9616230
0.2369384765625,49.4375,9616230
4.3984375,51.21875,9616230
10.0078125,53.53125,9616230
7.91015625,54.15625,9616230
9.953125,53.53125,9616230
9.9609375,53.53125,9616230
9.1953125,53.875,9616230
16.375,56.625,9616230
18.671875,54.40625,9616230
13.0,55.625,9616230
12.6015625,55.6875,9616230
10.1484375,54.3125,9616230
5.30859375,60.40625,9616230
13.5703125,68.125,9616230
25.96875,71.0,9616230
18.96875,69.625,9616230
7.1875,62.125,9616230
6.1484375,62.46875,9616230
5.7265625,58.96875,9616230
9.9375,53.53125,9616230
11.9296875,57.6875,9616230
12.6015625,55.6875,9616230
9.9375,53.53125,9616230
5.30859375,60.40625,9616230
7.1875,62.125,9616230
6.1484375,62.46875,9616230
-1.13134765625,60.0625,9616230
-2.97265625,59.0,9616230
-6.15234375,57.40625,9616230
-5.90625,54.625,9616230
-4.453125,54.15625,9616230
-3.0,53.40625,9616230
-6.27734375,49.9375,9616230
-5.0546875,50.15625,9616230
-2.515625,49.46875,9616230
-3.130859375,47.34375,9616230
-3.025390625,43.34375,9616230
-8.3984375,43.375,9616230
-9.125,38.71875,9616230
-27.046875,38.71875,9616230
-28.625,38.53125,9616230
-25.65625,37.75,9616230
-16.90625,32.65625,9616230
-16.3125,33.0625,9616230
-8.5390625,37.09375,9616230
-6.2890625,36.53125,9616230
-4.953125,36.46875,9616230
-4.4140625,36.71875,9616230
1.44921875,38.90625,9616230
2.630859375,39.5625,9616230
4.26171875,39.90625,9616230
5.359375,43.3125,9616230
6.64453125,43.28125,9616230
7.4296875,43.75,9616230
7.13671875,43.59375,9616230
9.234375,44.3125,9616230
10.296875,43.53125,9616230
10.34375,42.8125,9616230
9.28125,42.6875,9616230
9.1484375,41.375,9616230
14.3828125,40.625,9616230
11.7890625,42.09375,9616230
12.984375,40.90625,9616230
9.1484375,41.375,9616230
6.640625,43.28125,9616230
5.66796875,43.08333333333333,9616230
1.2177734375,41.09375,9616230
4.265625,39.90625,9616230
1.44921875,38.90625,9616230
2.62890625,39.5625,9616230
1.44921875,38.90625,9616230
-0.3056640625,39.46875,9616230
7.0078125,43.53125,9616230
8.765625,42.5625,9616230
9.234375,44.3125,9616230
10.296875,43.53125,9616230
11.1328125,42.4375,9616230
11.7890625,42.09375,9616230
12.5078125,38.0,9616230
13.3671875,38.125,9616230
14.96875,38.46875,9616230
15.5546875,38.1875,9616230
17.3125,40.96875,9616230
18.125,42.625,9616230
17.125,42.96875,9616230
13.8203125,44.875,9616230
12.2578125,45.4375,9616230
16.4375,43.5,9616230
18.765625,42.4375,9616230
19.90625,39.625,9616230
22.78125,37.5625,9616230
23.453125,37.34375,9616230
25.421875,36.40625,9616230
25.359375,37.09375,9616230
25.328125,37.46875,9616230
23.640625,37.9375,9616230
23.058238636363637,39.15625,9616230
22.9375,39.34375,9616230
24.40625,40.9375,9616230
28.984375,41.03125,9616230
24.9375,37.4375,9616230
25.421875,36.40625,9616230
23.625,37.9375,9616230
25.3125,37.4375,9616230
28.234375,36.4375,9616230
27.84375,36.625,9616230
28.29427083333334,36.765625,9616230
25.71875,35.1875,9616230
25.421875,36.40625,9616230
23.46875,37.34375,9616230
23.625,37.9375,9616230
32.34375,31.375,9616230
55.46875,-4.625,9616230
